device_id,ts,seq,rssi,reading,val
412222,1654277664,3381,-125,hum,83
412222,1654278564,3381,-125,temp,14.3
412222,1654278564,3381,-125,hum,84
412222,1654279464,3381,-125,temp,14.2
412222,1654279464,3381,-125,hum,84
412222,1654280364,3381,-125,temp,14.2
412222,1654280364,3381,-125,hum,84
412222,1654281264,3381,-125,temp,14.2
412222,1654281264,3381,-125,hum,84
412222,1654282164,3381,-125,temp,14.1
412222,1654282164,3381,-125,hum,84
412222,1654283064,3381,-125,temp,14.1
412222,1654283064,3381,-125,hum,84
412222,1654283964,3381,-125,temp,14.1
412222,1654283964,3381,-125,hum,84
412222,1654284864,3381,-125,temp,14.1
412222,1654284864,3381,-125,hum,84
412222,1654285764,3381,-125,temp,14.1
412222,1654285764,3381,-125,hum,84
412222,1654286664,3381,-125,temp,14.0
412222,1654286664,3381,-125,hum,84
412222,1654287564,3381,-125,temp,14.0
412222,1654287564,3381,-125,hum,85
412222,1654288464,3381,-125,temp,14.0
412222,1654288464,3381,-125,hum,85
412222,1654289364,3381,-125,temp,14.0
412222,1654289364,3381,-125,hum,85
412222,1654290266,3382,-129,temp,13.9
412222,1654290266,3382,-129,hum,85
412222,1654291166,3382,-129,temp,14.0
412222,1654291166,3382,-129,hum,85
412222,1654292066,3382,-129,temp,14.0
412222,1654292066,3382,-129,hum,85
412222,1654292966,3382,-129,temp,13.9
412222,1654292966,3382,-129,hum,85
412222,1654293866,3382,-129,temp,14.0
412222,1654293866,3382,-129,hum,85
412222,1654294766,3382,-129,temp,14.0
412222,1654294766,3382,-129,hum,85
412222,1654295666,3382,-129,temp,14.0
412222,1654295666,3382,-129,hum,85
412222,1654296566,3382,-129,temp,14.0
412222,1654296566,3382,-129,hum,85
412222,1654297466,3382,-129,temp,14.1
412222,1654297466,3382,-129,hum,85
412222,1654298366,3382,-129,temp,14.1
412222,1654298366,3382,-129,hum,86
412222,1654299266,3382,-129,temp,14.1
412222,1654299266,3382,-129,hum,86
412222,1654300166,3382,-129,temp,14.1
412222,1654300166,3382,-129,hum,86
412222,1654301066,3382,-129,temp,14.2
